ticker,name,group,performance_today,performance_1w,performance_1m,performance_3m,performance_6m,performance_ytd
FLEX,Flex Ltd,Electronic Components,-0.29542097,-4.1533546,-16.923077,-26.834225,75.2109,78.74876
FLG,Flagstar Bank NA,Banks - Regional,-1.3824885,-3.1674209,-8.285714,-12.354949,4.560261,1.985703
FLNC,Fluence Energy Inc,Utilities - Renewable,-1.1689692,-8.102767,-26.365795,-62.5,-38.532715,-52.98281
FLNG,Flex Lng Ltd,Oil & Gas Midstream,1.4724311,4.0141296,4.8898964,8.910558,7.679521,29.81964
FLO,Flowers Foods Inc,Packaged Foods,2.3333333,-1.1272142,-16.005472,-21.07969,-24.938875,-43.566177
FLOC,Flowco Holdings Inc,Oil & Gas Equipment & Services,4.2110605,-2.5616698,-12.259718,-9.555262,-5.3019824,9.605123
FLR,Fluor Corp,Engineering & Construction,0.9904691,-1.4408171,-1.2787724,0.7081625,20.302761,36.361343
FLS,Flowserve Corp,Specialty Industrial Machinery,-0.5042723,-5.5326505,-12.276152,-13.059976,-0.5182073,2.378207
FLUT,Flutter Entertainment Plc,Gambling,-0.7352211,0.5839122,3.6518312,-1.8854954,-4.6751266,-53.538876
FLY,Firefly Aerospace Inc,Aerospace & Defense,-4.073034,-6.0522695,-24.613686,-33.796448,-11.757106,-8.404113
FLYW,Flywire Corp,Software - Infrastructure,-1.9337016,-0.056306306,-3.0054646,11.987382,49.034424,25.353107
FMBH,First Mid Bancshares Inc,Banks - Regional,0.07840063,1.1489699,-1.7131858,11.338858,29.462475,30.923077
FMC,FMC Corp,Agricultural Inputs,2.4590163,-8.462164,10.510805,-2.5974026,-14.056532,-18.88969
FMNB,Farmers National Banc Corp,Banks - Regional,0.88495576,1.4621742,-0.99255586,12.871287,26.767275,19.81982
FMS,Fresenius Medical Care AG ADR,Medical Care Facilities,0.4374453,2.8213167,-2.2978723,-2.670623,6.0998154,-3.6104114
FMX,Fomento Economico Mexicano SAB de CV ADR,Beverages - Brewers,0.28038925,3.0683167,3.6834924,-3.8507156,19.932932,20.312654
FN,Fabrinet,Electronic Components,-1.9971246,-10.366509,-37.366768,-34.65735,-25.946629,-17.652872
FNB,F.N.B. Corp,Banks - Regional,-0.27307484,0.38482684,-5.876289,0.16456391,14.053717,6.7836256
FND,Floor & Decor Holdings Inc,Home Improvement Retail,-4.1969666,-3.0895333,-18.562346,-13.049217,-7.9640718,-24.27328
FNF,Fidelity National Financial Inc,Insurance - Specialty,-1.5127568,-1.9334532,-11.215143,-6.834686,0.8321775,-20.095255
FNV,Franco-Nevada Corp,Gold,0.5426682,-0.88158834,10.282529,19.989965,18.221443,26.924932
FOIL,Londian Wason New Energy Tech Inc ADR,Electrical Equipment & Parts,-3.3527696,-13.896104,0,0,0,0
FOR,Forestar Group Inc,Real Estate - Development,0.40998882,0.11148272,-7.6131687,-8.085978,10.90984,9.378806
FORM,FormFactor Inc,Semiconductor Equipment & Materials,-1.2142996,-10.9388685,-26.39693,-32.002674,10.268922,82.30549
FORTY,Formula Systems (1985) Ltd ADR,Information Technology Services,-2.0162096,0,10.580113,7.617272,-6.8966284,0
FOUR,Shift4 Payments Inc,Software - Infrastructure,-6.553398,2.9662046,-4.509583,7.4873095,2.8661647,-32.74575
FOX,Fox Corp,Entertainment,-1.3084724,5.674256,-1.8702228,28.519701,15.638176,-7.0691514
FOXA,Fox Corp,Entertainment,-1.4008464,5.8095837,-2.341379,29.370094,16.862677,-7.527029
FOXF,Fox Factory Holding Corp,Auto Parts,-2.1949975,-2.0449898,-6.7639904,2.6245313,19.154228,11.9812975
FPF,First Trust Intermediate Duration Preferred & Income Fund,Closed-End Fund - Debt,-1.0657194,-3.4662044,-6.3865547,-7.0116863,-5.6997743,-10.354077
FPS,Forgent Power Solutions Inc,Electrical Equipment & Parts,9.497207,1.1939335,-19.237703,-50.54408,-6.2481318,0
FR,First Industrial Realty Trust Inc,REIT - Industrial,0,0.65606034,-2.4324324,-0.69579285,7.6666665,7.159071
FRBT,Forbright Inc,Banks - Diversified,-1.8518518,0.10793308,-2.930403,3.0555556,0,0
FRHC,Freedom Holding Corp,Financial Conglomerates,-2.1349945,-0.3817029,7.536386,12.602644,16.611416,32.979946
FRME,First Merchants Corp,Banks - Regional,0.52999276,2.4803536,-4.1130514,2.4803536,14.141138,11.339381
